"query","id","doi","year","type","venue","title"
"S4","W7116353410","10.5281/zenodo.18001371","2025","conference-paper","Zenodo (CERN European Organization for Nuclear Research)","The Dual-Edged Sword: A Comprehensive Analysis of Generative AI in the Modern SDLC"
"S4","W7116292131","10.5281/zenodo.18001370","2025","conference-paper","Zenodo (CERN European Organization for Nuclear Research)","The Dual-Edged Sword: A Comprehensive Analysis of Generative AI in the Modern SDLC"
"S4","W4389620237","10.1007/978-3-031-50192-0_24","2023","conference-paper","IFIP advances in information and communication technology","Accelerating Product Success: Designing a Digital Adoption Framework to Elevate Developer Experiences"
"S4","W4415938580","10.48550/arxiv.2511.00658","2025","preprint","arXiv (Cornell University)","Lessons Learned from the Use of Generative AI in Engineering and Quality Assurance of a WEB System for Healthcare"
"S4","W7125373130","10.2139/ssrn.5994414","2026","preprint","SSRN Electronic Journal","Impact of Generative AI on Business Analysis Practices in Agile Digital Transformation Projects: A Pakistan Industry Perspective"
"S4","W7128492558","10.64672/ijifr/26.02.13.06.004","2026","article","International Journal Of Informative and Futuristic Research","Unlocking the Power of ChatGPT: A Generative AI Technology"
"S4","W7124556341","10.5281/zenodo.18287418","2026","article","Zenodo (CERN European Organization for Nuclear Research)","AI Driven Software"
"S4","W7125594319","10.5281/zenodo.18357801","2026","report","Zenodo (CERN European Organization for Nuclear Research)","AI Driven Software"
"S4","W7125602899","10.5281/zenodo.18357802","2026","report","Zenodo (CERN European Organization for Nuclear Research)","AI Driven Software"
"S4","W7124581397","10.5281/zenodo.18287419","2026","article","Zenodo (CERN European Organization for Nuclear Research)","AI Driven Software"
"S4","W7128145548","","2025","article","Dialnet (Universidad de la Rioja)","Modelos de inteligencia artificial generativa y grandes modelos de lenguaje(LLM): Análisis sistemático basado en metodología PRISMA de evolución, rendimiento y aplicaciones (2020-2025)"
"S4","W4402500926","10.48550/arxiv.2408.08549","2024","preprint","arXiv (Cornell University)","Vulnerability Handling of AI-Generated Code -- Existing Solutions and Open Challenges"
"S4","W7170198434","10.2139/ssrn.7052339","2026","preprint","SSRN Electronic Journal","From Tokens to Tactics: Operationalizing Generative AI in Enterprise Workflows"
"S4","W7135023243","10.1093/iwc/iwaf056","2025","article","Interacting with Computers","What does generative AI mean for my professional competence? Insights into the perspectives of digital creative professionals"
"S4","W4412991984","10.1016/bs.adcom.2025.06.008","2025","book-chapter","Advances in computers","Generative AI tools for accelerated software engineering"
"S4","W7118863050","10.2139/ssrn.6027957","2026","preprint","SSRN Electronic Journal","From Coding to Curation: Reconfiguring Software Engineering Roles amid Generative AI, Low-Code/No-Code Platforms, and AIOps"
"S4","W7134946843","10.2139/ssrn.6113466","2026","preprint","SSRN Electronic Journal","From Coding to Directing: Vibe Coding, Machine Creativity, and the Reconfiguration of Authorship and Creative Labour in Software as a Creative Industry"
"S4","W7163202854","10.1007/978-3-032-28350-4_3","2026","conference-paper","IFIP advances in information and communication technology","A Framework and Checklist for Secure and Reflective Review of AI-Generated Code"
"S4","W7165523137","10.5281/zenodo.20797458","2024","article","International Journal of Scientific Research and Engineering Trends","Autonomous Cloud Software Engineering Through Generative AI Technologies"
"S4","W7165532591","10.5281/zenodo.20797457","2024","article","International Journal of Scientific Research and Engineering Trends","Autonomous Cloud Software Engineering Through Generative AI Technologies"
"S4","W7123352806","10.32996/jcsts.2025.7.12.57","2025","article","Journal of Computer Science and Technology Studies","Software Engineering Practices: In the era of AI / LLMs"
"S4","W7162593783","10.48550/arxiv.2605.27202","2026","preprint","arXiv (Cornell University)","Queue & AI: When Faster Tasks Slow Down the Workflow"
"S4","W7168106708","10.5281/zenodo.21230439","2026","dataset","Zenodo (CERN European Organization for Nuclear Research)","Integrating GenAI into Software Work: Product and Process Quality Impact"
"S4","W7162700248","","2026","preprint","arXiv (Cornell University)","Queue & AI: When Faster Tasks Slow Down the Workflow"
"S4","W7171700967","10.2139/ssrn.6832998","2026","preprint","SSRN Electronic Journal","Queue & AI: When Faster Tasks Slow Down the Workflow"
"S4","W7106502091","10.5281/zenodo.17585004","2026","dataset","Zenodo (CERN European Organization for Nuclear Research)","Integrating GenAI into Software Work: Product and Process Quality Impact"
"S4","W7170261566","10.2139/ssrn.7169218","2026","preprint","SSRN Electronic Journal","Generative AI for Enterprise Software Engineering: Current Applications, Challenges, and Future Research Directions"
"S4","W7142784423","10.63646/jtis.2026.040102","2026","article","Journal of Technology Innovation and Society","The Impact of Generative AI on Individual and Society: Prospects and Future Possibilities"
"S4","W7106560181","10.5281/zenodo.17585005","2025","dataset","Zenodo (CERN European Organization for Nuclear Research)","Integrating GenAI into Software Work: Product Quality, Collaboration, and Process Impacts under an ISO/IEC 25010 Lens"
"S4","W7127929662","10.70315/uloap.ulirs.2025.0202006","2025","article","Universal Library of Innovative Research and Studies","AI-Driven Automation of Code Review Processes: Enhancing Software Quality and Reducing Human Error"
"S4","W7154961522","10.5281/zenodo.19666199","2026","article","Zenodo (CERN European Organization for Nuclear Research)","The Junior Developer Crisis: Impact of Generative AI on Early Career Growth in 2026"
"S4","W7154970339","10.5281/zenodo.19666200","2026","article","Zenodo (CERN European Organization for Nuclear Research)","The Junior Developer Crisis: Impact of Generative AI on Early Career Growth in 2026"
"S4","W7169844906","10.47119/ijrp1002011720269539","2026","article","International Journal of Research Publications","Integrating AI into Mobile Development Workflows: A System-Level Approach to Prompt-to-Code Engineering"
"S4","W7165659934","10.5281/zenodo.20807281","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","Large Language Models in the Financial Domain: Applications, Business Transformation, and Organizational Impact on Financial Institutions"
"S4","W7165686830","10.5281/zenodo.20807280","2026","preprint","Zenodo (CERN European Organization for Nuclear Research)","Large Language Models in the Financial Domain: Applications, Business Transformation, and Organizational Impact on Financial Institutions"
"S4","W7133019048","","2024","dissertation","Tampere University Institutional Repository (Tampere University)","Acceptance of Generative AI in Knowledge Work"
"S4","W7154875392","","2026","dissertation","UPM Digital Archive (Technical University of Madrid)","Desarrollo de un sistema software usando Copilot"
"S4","W7162047886","","2026","article","The Scientific Issues of Ternopil Volodymyr Hnatiuk National Pedagogical University Series pedagogy","ARTIFICIAL INTELLIGENCE AND COMPETITIVE ADVANTAGE: NEW STRATEGIES FOR DIGITAL BUSINESS"
"S5","W4400281321","10.3390/digital4030028","2024","review","Digital","Challenges of Integrating Artificial Intelligence in Software Project Planning: A Systematic Literature Review"
"S5","W2183003551","","2014","article",,"An Application of Ant Colony Optimization for Software Project Scheduling with Algorithm In Artificial Intelligence"
"S5","W7125820915","10.1109/icit64950.2025.11049089","2025","conference-paper",,"AI for Software Project Management: Predicting Delivery Times & Resource Allocation"
"S5","W4389041523","10.1109/csit61576.2023.10324169","2023","conference-paper",,"HR Decision-Making Support System Based On The CBR Method"
"S5","W2136365683","10.5120/15714-4525","2014","article","International Journal of Computer Applications","Performance Evaluation of Machine Learning Techniques using Software Cost Drivers"
"S6","W4408553978","10.3390/systems13030208","2025","article","Systems","AI-Driven Decision Support Systems in Agile Software Project Management: Enhancing Risk Mitigation and Resource Allocation"
"S6","W4391014967","10.5937/tehnika2306735a","2023","article","Tehnika","Implementing artificial intelligence tools for risk management in software projects"
"S6","W3018905799","10.1166/jctn.2020.8735","2020","article","Journal of Computational and Theoretical Nanoscience","Artificial Intelligence Based Risk Management in Global Software Development: A Proposed Architecture to Reduce Risk by Using Time, Budget and Resources Constraints"
"S6","W4416137200","10.1007/s10515-025-00578-6","2025","review","Automated Software Engineering","Artificial intelligence and machine learning in enhancing software project management processes: A systematic literature review"
"S6","W2743873656","10.18293/seke2017-064","2017","conference-paper","Proceedings/Proceedings of the ... International Conference on Software Engineering and Knowledge Engineering","A Knowledge Engineering Process for the Development of Argumentation Schemes for Risk Management in Software Projects"
"S6","W2621784043","10.15507/0236-2910.027.201702.250-263","2017","article","Mordovia University Bulletin","The use of intelligent systems for risk management in software projects"
"S6","W4234681047","10.18034/gdeb.v10i1.627","2021","article","Global Disclosure of Economics and Business","The Nexus between the Machine Learning Techniques and Software Project Estimation"
"S6","W4392782644","10.33022/ijcs.v13i1.3694","2024","review","Indonesian Journal of Computer Science","A Systematic Review of Risk Management Tools and Techniques in Software Projects"
"S6","W2787838727","10.1142/s0218194017400150","2017","article","International Journal of Software Engineering and Knowledge Engineering","Argumentation Schemes for Collaborative Debate of Requirement Risks in Software Projects"
"S6","W2745009853","10.18293/seke2017-065","2017","conference-paper","Proceedings/Proceedings of the ... International Conference on Software Engineering and Knowledge Engineering","Argumentation Schemes for the Collaborative Debate of Requirement Risks in Software Projects"
"S6","W4409495007","10.1109/icarc64760.2025.10962923","2025","conference-paper",,"Developing an AI Readiness Model for Software Project Management: A Thematic Analysis"
"S6","W4387847610","10.15379/ijmst.v10i1.2748","2023","article","International Journal of Membrane Science and Technology","Ml/Dl Analytical Approaches to Assist Software Project Managers: Dashboard"
"S6","W4401393659","10.15514/ispras-2024-36(2)-6","2024","article","Proceedings of the Institute for System Programming of RAS","Application of Generative Artificial Intelligence for Risk Management of Software Projects"
"S6","W7118109086","",,"article","CyberLeninK (CyberLeninka)","Application of Generative Artificial Intelligence for Risk Management of Software Projects"
"S6","W4410902530","10.31926/recent.2025.75.114","2025","article","RECENT - REzultatele CErcetărilor Noastre Tehnice","Enhancing Risk Identification in Software Project Management through Artificial Intelligence and Machine Learning"
"S6","W4405055622","10.1007/978-3-031-76572-8_1","2024","book-chapter","Artificial intelligence-enhanced software and systems engineering","Setting the Stage: AI in Software Project Management"
"S6","W7171625025","10.5281/zenodo.21682123","2025","article",,"MANAGING SOFTWARE PROJECTS IN THE ERA OF AI-POWERED TOOLS"
"S6","W7171652782","10.5281/zenodo.21678657","2025","article","Zenodo (CERN European Organization for Nuclear Research)","MANAGING SOFTWARE PROJECTS IN THE ERA OF AI-POWERED TOOLS"
"S6","W7171708939","10.5281/zenodo.21682122","2025","article","Zenodo (CERN European Organization for Nuclear Research)","MANAGING SOFTWARE PROJECTS IN THE ERA OF AI-POWERED TOOLS"
"S6","W7204953605","10.1007/978-981-95-9489-4_1","2026","conference-paper",,"Risk Dimensions of Artificial Intelligence: Navigating the Uncharted Waters of Innovation"
"S6","W2911010078","10.4018/978-1-5225-7903-8.ch001","2019","book-chapter","Advances in human services and public health (AHSPH) book series","A Framework for Risk Management in AI System Development Projects"
"S6","W4392749340","10.17587/it.30.150-158","2024","article","INFORMACIONNYE TEHNOLOGII","Consolidation of a New Organizational and Production Paradigm in Software Development Projects"
"S6","W7167062448","10.63163/jpehss.v4i2.1472","2026","article","Physical Education Health and Social Sciences","Explainable AI-Based Early Sprint Risk Prediction in Agile Software Projects Using Machine Learning Models"
"S6","W566315056","","2003","book","Kluwer Academic Publishers eBooks","Artificial intelligence and security in computing systems : 9th international conference, ACS '2002, Międzyzdroje, Poland, October 23-25, 2002 : proceedings"
"S6","W4416663067","10.5281/zenodo.11423519","2021","article","HAL (Le Centre pour la Communication Scientifique Directe)","AI-driven Project Management in Software Engineering"
"S6","W7170086696","10.1038/s41598-026-58547-2","2026","article","Scientific Reports","An efficient Draco lizard optimized stacked Bi-LSTM framework for risk mitigation and resource allocation in project management systems"
